model,nsims,tpb,mem,cupsodatime,cupsoda_io_time,pythontime,rtol,atol,mxsteps,t_end,n_steps,vol,card
ras,1000,32,2,3.741746,5.86095404625,7.48936581612,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10000,32,2,18.119474,32.9651789665,48.3084130287,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100000,32,2,186.651642,333.774294138,487.227622986,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10,64,0,4.109781,4.42283701897,4.50834703445,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100,64,0,4.800924,5.27665781975,5.56474089622,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,1000,64,0,5.197039,6.97339892387,8.53499007225,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10000,64,0,24.297083,39.2717959881,53.7388198376,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100000,64,0,251.218414,397.89567399,542.2298522,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10,64,1,3.324272,3.6759250164,3.75750398636,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100,64,1,3.839885,4.3751809597,4.65511202812,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,1000,64,1,4.205265,6.03107404709,7.65887713432,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10000,64,1,18.977245,33.92841506,48.0901620388,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100000,64,1,194.290253,342.371040821,485.240514994,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10,64,2,2.917584,3.26512694359,3.34815907478,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100,64,2,3.386926,3.91513800621,4.19475293159,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,1000,64,2,3.736449,5.56515884399,7.16740083694,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10000,64,2,18.33193,33.3199391365,47.9565229416,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100000,64,2,187.139725,334.838090181,476.127398014,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti


earm,10,16,0,5.105937,5.35441184044,5.54657292366,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,100,16,0,5.427634,5.79229521751,6.05776190758,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,1000,16,0,6.093526,7.05811190605,8.52256608009,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10000,16,0,33.711216,39.390130043,52.7137310505,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10,16,1,4.065357,4.33014798164,4.47561907768,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,100,16,1,4.284257,4.67253112793,4.99538707733,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,1000,16,1,4.859078,5.70814609528,7.20675301552,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10000,16,1,26.971544,32.5709888935,45.8938851357,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10,16,2,3.539722,3.79180908203,3.85356402397,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,100,16,2,3.702497,4.05388593674,4.40292406082,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,1000,16,2,4.254494,5.07221698761,6.61372804642,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10000,16,2,24.824768,30.504057169,43.9810459614,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10,32,0,5.168909,5.40483808517,5.47994804382,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,100,32,0,5.90219,6.21499896049,6.47407197952,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,1000,32,0,6.934216,7.71060299873,9.19920301437,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10000,32,0,36.395126,41.9879310131,54.9489300251,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10,32,1,4.10854,4.3456299305,4.39761090279,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,100,32,1,4.61779,4.91361904144,5.16692495346,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,1000,32,1,5.439189,6.25831198692,7.78278303146,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10000,32,1,29.46623,35.0278201103,48.0222170353,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10,32,2,3.542388,3.78169298172,3.83380293846,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,100,32,2,3.964285,4.29559993744,4.58495092392,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,1000,32,2,4.822831,5.64399695396,7.07131004333,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10000,32,2,26.299562,31.990653038,45.0642530918,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10,64,0,5.115469,5.41028690338,5.46991920471,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,100,64,0,6.301574,6.69645595551,6.98984289169,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,1000,64,0,6.870796,7.76282382011,9.25913596153,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10000,64,0,36.555622,42.2033839226,55.5525078773,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10,64,1,4.105738,4.39528203011,4.45158290863,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,100,64,1,4.929362,5.2829720974,5.53905892372,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,1000,64,1,5.452911,6.33773803711,7.83693599701,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10000,64,1,29.830233,35.4949579239,49.0007600784,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10,64,2,3.521638,3.81731700897,3.8700170517,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,100,64,2,4.269987,4.65530395508,4.97038412094,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,1000,64,2,4.812057,5.67943716049,7.19795799255,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
earm,10000,64,2,26.563324,32.152479887,45.7619388103,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti

# mule
tyson,10,16,0,0.104384,0.295319080353,0.301651000977,1e-06,1e-06,100,20000,100.0,1e-19,gtx-970
tyson,100,16,0,0.09567,0.259296894073,0.291258811951,1e-06,1e-06,100,20000,100.0,1e-19,gtx-970
tyson,1000,16,0,0.103988,0.489602088928,0.78297996521,1e-06,1e-06,100,20000,100.0,1e-19,gtx-970
tyson,10000,16,0,0.807352,3.44181513786,6.4058470726,1e-06,1e-06,100,20000,100.0,1e-19,gtx-970
tyson,100000,16,0,7.179591,32.2129499912,61.8767468929,1e-06,1e-06,100,20000,100.0,1e-19,gtx-970
tyson,10,16,1,0.097798,0.269820928574,0.285379171371,1e-06,1e-06,100,20000,100.0,1e-19,gtx-970
